,unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,descriptor_2,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,council_district,police_precinct,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location
0,69396322,2026-06-18T02:06:17.000,,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,,Street/Sidewalk,,,,,,,,,,,,In Progress,,,,0 Unspecified,,Unspecified,,Unspecified,1017524.0,174016.0,ONLINE,Unspecified,Unspecified,Car,,,,,,,40.64424784989856,-73.88009914732994,POINT (-73.88009914733 40.644247849899)
1,69390855,2026-06-18T02:05:50.000,,DSNY,Department of Sanitation,Dirty Condition,Trash,Littering,Sidewalk,10026.0,130 WEST 112 STREET,WEST 112 STREET,ST NICHOLAS AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ST NICHOLAS AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ADDRESS,NEW YORK,WEST 112 STREET,,In Progress,,,,10 MANHATTAN,9.0,Precinct 28,1018210053.0,MANHATTAN,997203.0,230797.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.80015093359262,-73.9532153425899,POINT (-73.95321534259 40.800150933593)
2,69396370,2026-06-18T02:05:49.000,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,,Residential Building/House,11226.0,101 EAST 29 STREET,EAST 29 STREET,TILDEN AVENUE,BEVERLEY ROAD,TILDEN AVENUE,BEVERLEY ROAD,ADDRESS,BROOKLYN,EAST 29 STREET,,In Progress,,,,17 BROOKLYN,40.0,Precinct 67,3051400001.0,BROOKLYN,998101.0,174847.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64658043937609,-73.95008702466224,POINT (-73.950087024662 40.646580439376)
3,69397701,2026-06-18T02:05:36.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,11201.0,153 BRIDGE PARK DRIVE,BRIDGE PARK DRIVE,BEND,JORALEMON STREET,BEND,JORALEMON STREET,ADDRESS,BROOKLYN,BRIDGE PARK DRIVE,,In Progress,,,,02 BROOKLYN,33.0,Precinct 84,3002457501.0,BROOKLYN,984016.0,192077.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.69388376434513,-74.00084383235578,POINT (-74.000843832356 40.693883764345)
4,69400344,2026-06-18T02:05:24.000,,NYPD,New York City Police Department,Drug Activity,Use Indoor,,Other,10454.0,40 BRUCKNER BOULEVARD,BRUCKNER BOULEVARD,ALEXANDER AVENUE,WILLIS AVENUE BRIDGE BIKE PATH,ALEXANDER AVENUE,WILLIS AVENUE BRIDGE BIKE PATH,ADDRESS,BRONX,BRUCKNER BOULEVARD,,In Progress,,,,01 BRONX,8.0,Precinct 40,2022950051.0,BRONX,1004423.0,233181.0,ONLINE,Unspecified,BRONX,,,,,,,,40.80668082306801,-73.92713042937037,POINT (-73.92713042937 40.806680823068)
5,69393423,2026-06-18T02:04:52.000,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,,Street/Sidewalk,11224.0,2999 WEST 30 STREET,WEST 30 STREET,MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,ADDRESS,BROOKLYN,WEST 30 STREET,,In Progress,,,,13 BROOKLYN,47.0,Precinct 60,3070510054.0,BROOKLYN,985366.0,148019.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.57295385307757,-73.99598285481915,POINT (-73.995982854819 40.572953853078)
6,69396250,2026-06-18T02:04:47.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,,Street,11208.0,720 CRESCENT STREET,CRESCENT STREET,DUMONT AVENUE,LINDEN BOULEVARD,DUMONT AVENUE,LINDEN BOULEVARD,ADDRESS,BROOKLYN,CRESCENT STREET,,In Progress,,,,05 BROOKLYN,42.0,Precinct 75,3044620009.0,BROOKLYN,1020681.0,183402.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66999790855473,-73.86867239804937,POINT (-73.868672398049 40.669997908555)
7,69392090,2026-06-18T02:04:28.000,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,,Street/Sidewalk,11236.0,1001 EAST 80 STREET,EAST 80 STREET,AVENUE J,PAERDEGAT 2 STREET,AVENUE J,PAERDEGAT 2 STREET,ADDRESS,BROOKLYN,EAST 80 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 69,3080320038.0,BROOKLYN,1008856.0,170195.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63378835089686,-73.91134767216647,POINT (-73.911347672166 40.633788350897)
8,69397689,2026-06-18T02:03:31.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,11201.0,50 BRIDGE PARK DRIVE,BRIDGE PARK DRIVE,,BEND,,BEND,ADDRESS,BROOKLYN,BRIDGE PARK DRIVE,,In Progress,,,,02 BROOKLYN,33.0,Precinct 84,3002457502.0,BROOKLYN,984160.0,191657.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.69273096414116,-74.00032454529463,POINT (-74.000324545295 40.692730964141)
9,69400237,2026-06-18T02:03:09.000,,NYPD,New York City Police Department,Blocked Driveway,No Access,,Street/Sidewalk,11374.0,98-33 64 AVENUE,64 AVENUE,98 STREET,99 STREET,98 STREET,99 STREET,ADDRESS,REGO PARK,64 AVENUE,,In Progress,,,,06 QUEENS,29.0,Precinct 112,4021000021.0,QUEENS,1023699.0,205467.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.7305481592761,-73.85766379125519,POINT (-73.857663791255 40.730548159276)
